Type	Chromosome	Start	End	-log10(q-value)	G-score	average amplitude	frequency
Amp	 2	142098162	154688728	-0.000000	0.018539	0.364585	0.062500
Amp	 2	158594110	159560048	-0.000000	0.054669	0.594480	0.062500
Amp	 2	164133568	242800953	-0.000000	0.000000	0.328825	0.046875
Amp	 3	1449872	9040994	0.188655	0.097402	0.616447	0.140625
Amp	 3	10183702	10192961	0.188655	0.116389	0.617572	0.156250
Amp	 3	12393133	17744210	0.188655	0.104677	0.616583	0.140625
Amp	 3	22112060	25569565	0.001630	0.070006	0.583349	0.125000
Amp	 3	26806108	26806108	-0.000000	0.039572	0.486523	0.125000
Amp	 3	28650238	29047673	0.039951	0.078980	0.580398	0.140625
Amp	 3	29250696	30664728	-0.000000	0.058394	0.585253	0.109375
Amp	 3	30686323	30733002	0.188655	0.097271	0.715053	0.109375
Amp	 3	32670357	33432307	0.188655	0.118948	0.685572	0.140625
Amp	 3	34786456	34786456	0.335460	0.148982	0.770511	0.140625
Amp	 3	36109775	41443267	0.001630	0.070699	0.576714	0.125000
Amp	 3	43177020	43177020	-0.000000	0.051712	0.569430	0.109375
Amp	 3	47058664	63597382	-0.000000	0.000000	0.458678	0.062500
Amp	 3	69788801	71007445	-0.000000	0.016805	0.481714	0.062500
Amp	 3	71008470	71161738	-0.000000	0.000000	0.363487	0.046875
Amp	 3	71179742	73114711	-0.000000	0.014023	0.361844	0.062500
Amp	 3	75010988	76716794	-0.000000	0.000000	0.506520	0.062500
Amp	 3	87348066	89176391	-0.000000	0.034842	0.488144	0.109375
Amp	 3	89259340	89480405	-0.000000	0.054481	0.501966	0.125000
Amp	 3	89498450	94429172	-0.000000	0.034842	0.488144	0.109375
Amp	 3	95454468	112547601	-0.000000	0.013698	0.521914	0.109375
Amp	 3	116506471	134069661	-0.000000	0.000000	0.536011	0.093750
Amp	 3	134514503	134977908	-0.000000	0.040505	0.549730	0.156250
Amp	 3	138374300	138667561	0.003185	0.073190	0.563786	0.187500
Amp	 3	142168358	150742677	0.188655	0.105649	0.646964	0.171875
Amp	 3	154880370	159601763	-0.000000	0.032459	0.506909	0.171875
Amp	 3	162769378	162769378	-0.000000	0.048240	0.501181	0.187500
Amp	 3	164564579	164564579	0.087512	0.085708	0.537123	0.203125
Amp	 3	169940508	170020872	0.269452	0.137142	0.598460	0.218750
Amp	 3	177899353	177899353	0.188655	0.099674	0.570001	0.203125
Amp	 3	178916790	180017424	1.018868	0.220298	0.806843	0.203125
Amp	 3	181426161	185003413	0.188655	0.099674	0.568626	0.203125
Amp	 3	185047016	186501414	0.484252	0.159869	0.686481	0.203125
Amp	 3	186502244	194238390	0.188655	0.118709	0.607496	0.187500
Amp	 4	1402650	1795716	-0.000000	0.053735	0.400858	0.093750
Amp	 4	1801116	1808916	-0.000000	0.060938	0.448983	0.093750
Amp	 4	1902680	1918681	-0.000000	0.030343	0.353795	0.078125
Amp	 4	1920109	1980501	-0.000000	0.017073	0.349204	0.062500
Amp	 4	6113559	48356333	-0.000000	0.000000	0.285619	0.046875
Amp	 4	54245262	55987311	-0.000000	0.036154	0.363081	0.078125
Amp	 4	55991427	62707653	-0.000000	0.022598	0.370067	0.046875
Amp	 4	65604616	75662515	-0.000000	0.053247	0.511626	0.062500
Amp	 4	78271620	78271620	-0.000000	0.022598	0.333028	0.062500
Amp	 4	84383839	84406182	-0.000000	0.000000	0.239527	0.046875
Amp	 4	94653694	99807651	-0.000000	0.063234	0.402953	0.093750
Amp	 4	99808287	99808287	-0.000000	0.046285	0.385421	0.078125
Amp	 4	99809072	99850255	-0.000000	0.027402	0.354010	0.062500
Amp	 4	105135443	134635942	-0.000000	0.000000	0.218766	0.031250
Amp	 4	136777689	143235890	-0.000000	0.014538	0.252078	0.062500
Amp	 4	143324149	145225998	-0.000000	0.041102	0.421106	0.062500
Amp	 4	153244167	153303414	-0.000000	0.026564	0.546246	0.031250
Amp	 4	153332705	155454287	-0.000000	0.000000	0.215622	0.015625
Amp	 4	156646960	157615583	-0.000000	0.017136	0.340834	0.031250
Amp	 4	165697040	183806904	-0.000000	0.045357	0.466653	0.046875
Amp	 4	184234587	184234587	-0.000000	0.028221	0.466957	0.031250
Amp	 4	187367539	190262486	-0.000000	0.041149	0.514668	0.046875
Amp	 5	218502	1294105	0.756351	0.201728	0.769258	0.312500
Amp	 5	1294995	1295241	0.703725	0.187278	0.750870	0.312500
Amp	 5	2979710	2979710	0.484252	0.160466	0.716748	0.312500
Amp	 5	4089201	4577842	0.001630	0.069477	0.632584	0.296875
Amp	 5	5492718	8453623	-0.000000	0.046582	0.635353	0.281250
Amp	 5	14009085	14869915	-0.000000	0.011948	0.659676	0.250000
Amp	 5	21760602	34605325	-0.000000	0.000000	0.683382	0.234375
Amp	 5	35857121	38942443	-0.000000	0.030337	0.692417	0.250000
Amp	 5	38943004	56111642	-0.000000	0.000000	0.681458	0.234375
Amp	 5	56152502	57750506	-0.000000	0.011450	0.762609	0.109375
Amp	 5	57750793	59018033	-0.000000	0.032894	0.742850	0.125000
Amp	 5	67522671	72671738	-0.000000	0.000000	0.450744	0.078125
Amp	 5	75111397	77168090	0.015329	0.074916	0.563072	0.125000
Amp	 5	79172136	79961072	0.732191	0.194256	0.838006	0.140625
Amp	 5	79966022	80171626	1.009078	0.218591	0.906826	0.140625
Amp	 5	86564538	86564538	0.332041	0.143674	0.873839	0.109375
Amp	 5	86564869	88365778	0.128973	0.089450	0.676675	0.109375
Amp	 5	96383752	126841120	-0.000000	0.000000	0.410003	0.093750
Amp	 5	127196066	137431501	-0.000000	0.026139	0.446475	0.109375
Amp	 5	139517048	142329145	-0.000000	0.034201	0.396533	0.156250
Amp	 5	147496307	149516591	0.087512	0.084461	0.444102	0.187500
Amp	 5	150229801	153690473	0.332041	0.143553	0.572568	0.187500
Amp	 5	154504902	154936212	0.188655	0.104719	0.490199	0.187500
Amp	 5	161253451	162712737	0.087512	0.084461	0.447232	0.187500
Amp	 5	170814982	176715873	0.188655	0.104472	0.465433	0.203125
Amp	 5	176719057	180076517	0.188655	0.096411	0.487120	0.187500
Amp	 6	393261	25606678	-0.000000	0.020059	0.399698	0.156250
Amp	 6	25795577	25795577	-0.000000	0.000000	0.385660	0.125000
Amp	 6	26020923	26066061	-0.000000	0.051185	0.440532	0.156250
Amp	 6	26127861	26172061	0.150099	0.091325	0.542698	0.156250
Amp	 6	26197273	27839888	0.188655	0.114596	0.553190	0.171875
Amp	 6	27858365	27858365	0.188655	0.104856	0.572569	0.156250
Amp	 6	29230683	29913035	0.001630	0.072163	0.430894	0.140625
Amp	 6	29913230	29913230	-0.000000	0.058632	0.389719	0.140625
Amp	 6	30668326	32169086	0.001630	0.069172	0.439743	0.140625
Amp	 6	32170115	32172040	-0.000000	0.045567	0.415188	0.109375
Amp	 6	32178621	32790081	-0.000000	0.017602	0.362877	0.093750
Amp	 6	32797245	32798489	-0.000000	0.038186	0.388349	0.109375
Amp	 6	32800174	32800174	-0.000000	0.020584	0.376879	0.093750
Amp	 6	32800503	33290665	-0.000000	0.042580	0.423673	0.109375
Amp	 6	34617144	34617144	-0.000000	0.059941	0.427095	0.125000
Amp	 6	36645662	39338435	0.026279	0.077308	0.439302	0.140625
Amp	 6	40588295	41904365	0.188655	0.097427	0.468818	0.140625
Amp	 6	41905053	41908714	0.188655	0.106028	0.444652	0.156250
Amp	 6	41909289	41909289	0.269452	0.135701	0.480734	0.187500
Amp	 6	43739017	46910415	0.269452	0.135729	0.455215	0.187500
Amp	 6	64286838	64290021	0.001630	0.071329	0.395836	0.187500
Amp	 6	65096797	68164958	-0.000000	0.030597	0.369604	0.156250
Amp	 6	72558580	76598904	-0.000000	0.008602	0.332400	0.140625
Amp	 6	79720867	93108691	-0.000000	0.000000	0.345555	0.125000
Amp	 6	93953201	100315027	-0.000000	0.015943	0.409705	0.109375
Amp	 6	106051738	106555074	-0.000000	0.000000	0.322359	0.125000
Amp	 6	109308790	111995768	-0.000000	0.049369	0.439532	0.156250
Amp	 6	112015655	136294983	-0.000000	0.000000	0.395357	0.140625
Amp	 6	137519472	137540422	-0.000000	0.022524	0.401880	0.140625
Amp	 6	137723544	148266753	-0.000000	0.058300	0.452751	0.156250
Amp	 6	149983120	150023089	-0.000000	0.035776	0.432461	0.140625
Amp	 6	152129274	152419984	0.188655	0.115237	0.591461	0.156250
Amp	 6	153023184	166653963	-0.000000	0.035776	0.454669	0.125000
Amp	 6	167630439	170798891	-0.000000	0.057119	0.528528	0.109375
Amp	 7	1672540	2640378	-0.000000	0.061836	0.592390	0.250000
Amp	 7	2946374	4798533	-0.000000	0.041955	0.598148	0.234375
Amp	 7	6013102	6442012	-0.000000	0.059269	0.599234	0.250000
Amp	 7	11691296	12463109	-0.000000	0.068094	0.648503	0.250000
Amp	 7	13935602	13950898	-0.000000	0.050779	0.634727	0.250000
Amp	 7	13971251	16584470	-0.000000	0.034261	0.644312	0.234375
Amp	 7	16603660	24164624	-0.000000	0.000000	0.586177	0.234375
Amp	 7	32894503	41742061	-0.000000	0.030618	0.528389	0.250000
Amp	 7	43288484	47802508	-0.000000	0.038578	0.477689	0.234375
Amp	 7	50358678	50450322	-0.000000	0.021222	0.339963	0.109375
Amp	 7	50455106	50739455	-0.000000	0.053820	0.458494	0.109375
Amp	 7	52528988	52528988	0.087512	0.085653	0.473385	0.140625
Amp	 7	53722880	55273130	0.188655	0.107227	0.480959	0.156250
Amp	 7	56749207	56749207	0.003185	0.074629	0.388060	0.140625
Amp	 7	64721546	71297516	-0.000000	0.042796	0.395538	0.140625
Amp	 7	78021636	80802110	-0.000000	0.029534	0.424430	0.125000
Amp	 7	81076832	81381507	-0.000000	0.048274	0.484051	0.125000
Amp	 7	81386562	81399244	-0.000000	0.040314	0.524260	0.109375
Amp	 7	82948594	82956889	-0.000000	0.021574	0.429971	0.109375
Amp	 7	83542173	91179891	-0.000000	0.000000	0.410113	0.093750
Amp	 7	92244527	92462521	-0.000000	0.031277	0.465250	0.109375
Amp	 7	97097087	111820090	-0.000000	0.000000	0.410113	0.093750
Amp	 7	116339739	135681518	-0.000000	0.043913	0.511196	0.109375
Amp	 7	139338133	139338133	0.001630	0.070904	0.510128	0.109375
Amp	 7	140434484	140454010	0.128973	0.089520	0.514407	0.125000
Amp	 7	140476800	148544332	0.188655	0.106945	0.511513	0.140625
Amp	 7	150486083	151430709	0.240014	0.132744	0.526026	0.156250
Amp	 7	151833963	151960158	0.543971	0.166479	0.563564	0.171875
Amp	 7	151962209	152373145	0.240014	0.132744	0.526026	0.156250
Amp	 7	153622382	158450965	0.627353	0.173054	0.571476	0.171875
Amp	 8	565232	2387976	-0.000000	0.011766	0.296476	0.046875
Amp	 8	3176639	6327274	-0.000000	0.000000	0.294980	0.031250
Amp	 8	6710357	6710357	-0.000000	0.055513	0.667633	0.046875
Amp	 8	10470915	11268077	0.332041	0.144718	1.068346	0.062500
Amp	 8	11587234	12586261	-0.000000	0.055513	0.667633	0.046875
Amp	 8	13745588	31397748	-0.000000	0.000000	0.294980	0.031250
Amp	 8	36092421	36092421	0.732191	0.196434	1.482492	0.093750
Amp	 8	38133280	38133916	13.972729	0.998200	1.847662	0.281250
Amp	 8	38135877	38178640	14.121032	1.006502	1.761538	0.296875
Amp	 8	38184311	38205352	11.288895	0.862828	1.656243	0.281250
Amp	 8	38271234	38318619	8.601944	0.723634	1.538560	0.265625
Amp	 8	38736089	38736089	6.855830	0.622523	1.387178	0.265625
Amp	 8	38858431	38858431	5.934175	0.569764	1.402651	0.265625
Amp	 8	53901286	55372087	0.631115	0.179178	1.002861	0.343750
Amp	 8	55375061	55375061	0.435216	0.155840	1.012900	0.328125
Amp	 8	56063806	56854485	-0.000000	0.046913	0.880879	0.328125
Amp	 8	56859030	59790210	-0.000000	0.025823	0.888593	0.312500
Amp	 8	65193137	66183866	-0.000000	0.024404	0.854386	0.328125
Amp	 8	66631972	69143591	-0.000000	0.046733	0.888977	0.328125
Amp	 8	70250407	70981746	0.500328	0.162418	1.067392	0.343750
Amp	 8	74858960	74872002	0.188655	0.115514	1.110639	0.343750
Amp	 8	74875061	74885061	0.188655	0.099412	1.144607	0.343750
Amp	 8	81288925	86485306	0.150099	0.091110	1.189229	0.343750
Amp	 8	87558283	90996771	0.188655	0.104633	1.152488	0.359375
Amp	 8	91433917	91433917	-0.000000	0.047127	1.076377	0.375000
Amp	 8	97963811	102984279	-0.000000	0.013524	1.043098	0.406250
Amp	 8	103858308	109235858	-0.000000	0.000000	1.071053	0.390625
Amp	 8	109735830	109735830	-0.000000	0.019214	1.056325	0.406250
Amp	 8	111298543	111298543	-0.000000	0.029090	1.029439	0.421875
Amp	 8	117859835	125874959	0.188655	0.099814	1.040382	0.453125
Amp	 8	128343879	128343879	0.384482	0.152367	1.046539	0.437500
Amp	 8	128748061	128755161	0.732191	0.188779	1.045694	0.453125
Amp	 8	131098162	132408509	0.631115	0.178903	1.103259	0.390625
Amp	 8	139766478	139766478	0.543971	0.166265	1.082378	0.343750
Amp	 8	141542197	141572643	0.869023	0.209860	1.101282	0.343750
Amp	 8	141582971	141582971	0.732191	0.190599	1.078998	0.343750
Amp	 8	141595314	141595314	0.459198	0.157744	1.040987	0.343750
Amp	 8	141645595	141645595	0.188655	0.114148	0.831229	0.343750
Amp	 8	141840881	145743127	0.217205	0.129737	0.812340	0.359375
Amp	 9	421980	37020716	-0.000000	0.000000	0.451689	0.062500
Amp	 9	37034006	37034006	-0.000000	0.021470	0.400367	0.046875
Amp	 9	75047061	80646084	-0.000000	0.066364	0.596966	0.078125
Amp	 9	82832769	84386712	-0.000000	0.000000	0.393044	0.046875
Amp	 9	87285770	87359938	-0.000000	0.029310	0.387811	0.078125
Amp	 9	87366951	87549142	-0.000000	0.043500	0.383370	0.093750
Amp	 9	87563463	87636260	-0.000000	0.029310	0.387811	0.078125
Amp	 9	92495076	125767540	-0.000000	0.000000	0.393044	0.046875
Amp	 9	126974804	126974804	-0.000000	0.040808	0.546063	0.109375
Amp	 9	127912076	128434724	0.484252	0.160449	0.858450	0.125000
Amp	 9	129469539	133760213	-0.000000	0.058362	0.533656	0.125000
Amp	 9	135771882	137328387	0.003185	0.074421	0.628940	0.109375
Amp	 9	138663796	138829709	0.001630	0.071553	0.512206	0.109375
Amp	 9	139391267	139820244	0.150099	0.091577	0.511890	0.125000
Amp	10	1510047	2158567	-0.000000	0.026920	0.703507	0.218750
Amp	10	3097212	8596776	0.001630	0.071047	0.865988	0.218750
Amp	10	9959785	9959785	-0.000000	0.044127	0.879898	0.203125
Amp	10	10136339	45386046	-0.000000	0.000000	0.793502	0.203125
Amp	10	49842655	53793416	-0.000000	0.008955	0.444328	0.093750
Amp	10	56851396	56851396	-0.000000	0.020990	0.424615	0.109375
Amp	10	60277549	60277549	0.001630	0.071995	0.540081	0.109375
Amp	10	63661479	63829508	0.602137	0.172325	0.757910	0.125000
Amp	10	63845560	63851705	0.359813	0.149509	0.685321	0.125000
Amp	10	68050521	68821572	0.602137	0.170983	0.810036	0.109375
Amp	10	70333053	71539581	0.484252	0.159618	0.765555	0.109375
Amp	10	86028579	86028579	0.359813	0.150753	0.848067	0.093750
Amp	10	88635809	88649900	0.188655	0.123872	0.867196	0.078125
Amp	10	88651935	88866129	0.065002	0.082304	0.819495	0.062500
Amp	10	89624266	89725137	-0.000000	0.029085	0.455151	0.046875
Amp	10	90918714	104389868	-0.000000	0.056220	0.514893	0.062500
Amp	10	105517162	105517162	-0.000000	0.040838	0.416151	0.062500
Amp	10	108316062	109599389	-0.000000	0.059635	0.535759	0.062500
Amp	10	110982703	111500900	0.065002	0.081366	0.609954	0.078125
Amp	10	112724468	112771472	0.001630	0.069612	0.687656	0.062500
Amp	10	114710610	114925523	-0.000000	0.000000	0.625172	0.015625
Amp	10	117807881	122302242	-0.000000	0.046843	0.517211	0.078125
Amp	10	123239140	123353277	0.001630	0.069643	0.522516	0.109375
Amp	10	127191122	128270699	-0.000000	0.022800	0.493068	0.078125
Amp	10	133191828	134199067	-0.000000	0.000000	0.454198	0.062500
Amp	11	532696	13127893	-0.000000	0.000000	0.393406	0.062500
Amp	11	14300927	17747061	-0.000000	0.031115	0.579164	0.093750
Amp	11	18586122	30254550	-0.000000	0.000000	0.456349	0.109375
Amp	11	32410665	35242907	0.332041	0.143434	0.783849	0.140625
Amp	11	39878822	64138854	-0.000000	0.000000	0.387944	0.093750
Amp	11	64572047	64577352	-0.000000	0.023568	0.371542	0.062500
Amp	11	66677366	66677366	2.972004	0.382923	1.325455	0.140625
Amp	11	67196056	67202550	6.639278	0.609945	1.615233	0.171875
Amp	11	68758509	68758509	12.799093	0.943068	1.415151	0.296875
Amp	11	69069538	69069538	15.888975	1.097552	1.405494	0.343750
Amp	11	69456181	69588844	19.925614	1.282105	1.561654	0.359375
Amp	11	69589683	69633592	19.687051	1.264401	1.671001	0.328125
Amp	11	71936120	71949352	9.900860	0.795368	1.649850	0.218750
Amp	11	74401763	74401763	8.019282	0.690638	1.697669	0.187500
Amp	11	76059229	77103471	9.757112	0.783867	1.749611	0.203125
Amp	11	81185331	83269191	1.018868	0.221241	0.949059	0.125000
Amp	11	85956329	86333434	1.105982	0.243310	0.916567	0.140625
Amp	11	88359631	88359631	0.602137	0.172403	0.832300	0.109375
Amp	11	94153319	94153319	-0.000000	0.055905	0.464528	0.093750
Amp	11	94163115	99322321	-0.000000	0.044270	0.498209	0.078125
Amp	11	100850202	100850202	0.087512	0.085936	0.562662	0.093750
Amp	11	100909925	100998983	0.732191	0.190151	1.004747	0.093750
Amp	11	101981740	101985000	0.627353	0.178490	1.282527	0.062500
Amp	11	102020070	102207737	-0.000000	0.044549	0.523478	0.046875
Amp	11	105610205	133495556	-0.000000	0.000000	0.356678	0.015625
Amp	12	394725	1039264	0.188655	0.097309	0.606396	0.171875
Amp	12	1040437	1040437	0.065002	0.081044	0.623252	0.156250
Amp	12	1042183	1042183	-0.000000	0.060710	0.571499	0.156250
Amp	12	3001344	4947332	-0.000000	0.033599	0.545101	0.140625
Amp	12	11664178	55215314	-0.000000	0.000000	0.504203	0.125000
Amp	12	55427311	57863348	-0.000000	0.028052	0.502805	0.140625
Amp	12	57864972	57864972	-0.000000	0.056976	0.584809	0.140625
Amp	12	58142354	58145392	0.003185	0.073425	0.576817	0.156250
Amp	12	58814968	61873087	-0.000000	0.045372	0.499872	0.171875
Amp	12	62290656	62755631	0.188655	0.102260	0.645086	0.203125
Amp	12	63294859	65379373	1.018868	0.222687	0.880867	0.203125
Amp	12	66943175	69210659	1.173475	0.249097	0.932574	0.203125
Amp	12	69214130	69233342	1.018868	0.222687	0.918616	0.187500
Amp	12	77781871	81164017	-0.000000	0.056888	0.599921	0.156250
Amp	12	91237920	93919297	-0.000000	0.000000	0.455127	0.156250
Amp	12	93919441	97487831	-0.000000	0.020100	0.464493	0.171875
Amp	12	102796315	102874128	-0.000000	0.041045	0.520988	0.171875
Amp	12	104975209	107194776	0.003185	0.073360	0.560141	0.171875
Amp	12	108602970	112942534	-0.000000	0.053260	0.560340	0.156250
Amp	12	115109877	120795660	0.188655	0.108962	0.678008	0.156250
Amp	12	120796832	121438932	0.087512	0.085283	0.618157	0.140625
Amp	12	122974253	122974253	-0.000000	0.032315	0.468363	0.140625
Amp	12	123868751	133263871	0.307190	0.143002	0.781389	0.140625
Amp	13	21004738	21619995	0.001630	0.071810	0.765989	0.062500
Amp	13	25694340	26978156	0.150099	0.091859	0.654442	0.093750
Amp	13	28578250	28644689	-0.000000	0.063246	0.533064	0.093750
Amp	13	28674626	28942758	-0.000000	0.048358	0.523953	0.078125
Amp	13	28959095	29678920	0.150099	0.092094	0.622155	0.093750
Amp	13	32507426	32944617	1.018868	0.234861	1.055053	0.109375
Amp	13	32945165	32972603	1.018868	0.225473	1.162508	0.093750
Amp	13	33833810	34348532	0.087512	0.082705	0.661149	0.078125
Amp	13	41032459	42178332	-0.000000	0.009772	0.449413	0.046875
Amp	13	43550021	103506681	-0.000000	0.000000	0.549762	0.031250
Amp	13	103508432	106826378	-0.000000	0.013639	0.449899	0.062500
Amp	13	109078699	111119077	-0.000000	0.061682	0.604485	0.078125
Amp	14	20347564	20893219	0.188655	0.115954	0.469754	0.203125
Amp	14	21337266	25438250	0.188655	0.100728	0.474864	0.187500
Amp	14	27035112	27035112	0.128973	0.089224	0.491417	0.171875
Amp	14	30046553	30396587	0.435216	0.155331	0.551665	0.203125
Amp	14	31375322	33107172	0.543971	0.166101	0.510656	0.234375
Amp	14	35871243	36558077	1.460244	0.273368	0.653777	0.250000
Amp	14	36984061	38345849	1.756780	0.294240	0.769828	0.218750
Amp	14	46730899	52640564	0.732191	0.190031	0.622143	0.218750
Amp	14	57141603	64619850	-0.000000	0.008640	0.430214	0.140625
Amp	14	65472962	68353830	-0.000000	0.052355	0.623073	0.125000
Amp	14	68758649	75322327	-0.000000	0.000000	0.409564	0.109375
Amp	14	77427469	95556918	-0.000000	0.023794	0.484558	0.109375
Amp	14	95557409	104146361	-0.000000	0.053113	0.557410	0.140625
Amp	14	104540855	104540855	0.087512	0.083488	0.578979	0.156250
Amp	14	105236718	105906073	0.188655	0.114830	0.658754	0.156250
Amp	15	26216370	33033161	-0.000000	0.027159	0.327154	0.109375
Amp	15	36872498	36872498	-0.000000	0.019296	0.345796	0.093750
Amp	15	38456861	45468626	-0.000000	0.000000	0.316730	0.078125
Amp	15	48073768	48073768	-0.000000	0.013084	0.436764	0.093750
Amp	15	48633092	54609467	0.015329	0.075009	0.599531	0.109375
Amp	15	55966642	55966642	-0.000000	0.013084	0.454054	0.109375
Amp	15	59502497	66694279	-0.000000	0.000000	0.453085	0.109375
Amp	15	66727470	67358596	-0.000000	0.027032	0.507843	0.140625
Amp	15	67430402	67482813	-0.000000	0.000000	0.475550	0.125000
Amp	15	71892215	71950471	-0.000000	0.019364	0.477473	0.140625
Amp	15	73992020	78164706	-0.000000	0.033355	0.471960	0.156250
Amp	15	87255748	88799261	-0.000000	0.054502	0.504797	0.156250
Amp	15	90627542	90645565	0.188655	0.108634	0.494866	0.187500
Amp	15	91290672	91358421	0.188655	0.125380	0.492699	0.203125
Amp	15	93545934	93545934	0.188655	0.099974	0.415294	0.203125
Amp	15	94591032	95792273	1.009078	0.218173	0.695085	0.187500
Amp	15	97476082	97476082	1.460244	0.273259	0.802226	0.187500
Amp	15	98674857	98674857	3.210474	0.404116	1.021813	0.203125
Amp	15	99192858	99861618	4.076790	0.454234	1.067807	0.218750
Amp	16	115072	1987058	-0.000000	0.000000	0.515261	0.406250
Amp	16	2089987	2781843	-0.000000	0.012682	0.523557	0.421875
Amp	16	3498951	10274062	-0.000000	0.000000	0.502777	0.406250
Amp	16	11345961	14041838	-0.000000	0.018952	0.487667	0.343750
Amp	16	23614885	23652455	-0.000000	0.000000	0.487228	0.390625
