sample	purity	ploidy	n.segs	substitution_rate	QC
P-0019974-T01-IM6_P-0019974-N01	0.218959858955652	1.88718539943995	29	100%	TRUE
P-0020544-T01-IM6_P-0020544-N01	0.300322707599577	1.83273921902578	45	100%	TRUE
P-0020545-T01-IM6_P-0020545-N01	0.300999499954817	2.013567068099	28	100%	TRUE
P-0020575-T01-IM6_P-0020575-N01	0.563594280662948	2.01757702226042	46	100%	TRUE
P-0020593-T01-IM6_P-0020593-N01	0.288312183793372	3.2514313463975	51	100%	FALSE
P-0020617-T01-IM6_P-0020617-N01	NA	2	28	100%	FALSE
P-0020644-T01-IM6_P-0020644-N01	0.360150651348016	2.62588996842632	37	100%	FALSE
P-0020645-T01-IM6_P-0020645-N01	0.278926512596122	2.53839386466637	23	100%	TRUE
P-0020648-T01-IM6_P-0020648-N01	0.946375421046715	2.00450817214807	39	100%	TRUE
P-0020673-T01-IM6_P-0020673-N01	0.830278609777894	2.76673217195115	68	100%	TRUE
P-0020727-T01-IM6_P-0020727-N01	0.274793426837315	1.98671091927134	26	100%	TRUE
P-0020730-T01-IM6_P-0020730-N01	0.21638942274347	3.33719926217861	50	100%	TRUE
P-0020762-T01-IM6_P-0020762-N01	0.698112830326806	1.84038778329573	47	100%	TRUE
P-0020851-T01-IM6_P-0020851-N01	0.461610118397357	3.56052033593363	34	100%	FALSE
P-0020951-T01-IM6_P-0020951-N01	0.324400085570824	2.96534019848191	58	100%	FALSE
P-0021040-T01-IM6_P-0021040-N01	0.224587423427793	2.03367531708243	29	100%	TRUE
P-0021048-T01-IM6_P-0021048-N01	0.428220218388671	2.01350393959192	25	100%	TRUE
P-0021052-T01-IM6_P-0021052-N01	NA	2	24	100%	FALSE
P-0021095-T01-IM6_P-0021095-N01	0.167601214455525	1.9979352238151	32	100%	TRUE
P-0021103-T01-IM6_P-0021103-N01	0.615789410459893	2.04226783388825	45	100%	TRUE
P-0021148-T01-IM6_P-0021148-N01	0.215875964773001	3.70302028069193	36	100%	FALSE
P-0021173-T01-IM6_P-0021173-N01	0.332573992594752	2.33419894757537	43	100%	TRUE
P-0021218-T01-IM6_P-0021218-N01	0.216242665211571	3.80477302170378	25	100%	FALSE
P-0021225-T01-IM6_P-0021225-N01	NA	2	25	100%	FALSE
P-0021238-T01-IM6_P-0021238-N01	0.725122954387892	2.00337797824586	30	100%	TRUE
P-0023442-T01-IM6_P-0023442-N01	0.285993542217744	2	26	100%	TRUE
P-0023453-T01-IM6_P-0023453-N01	0.274270661403295	2.98473529817339	59	100%	FALSE
P-0024139-T01-IM6_P-0024139-N01	0.268424302118238	1.91421741690003	33	100%	TRUE
P-0024637-T01-IM6_P-0024637-N01	0.585163194825115	3.87168177332867	43	100%	FALSE
P-0030979-T02-IM6_P-0030979-N01	0.775977439217345	3.02941624641896	55	100%	FALSE
P-0033290-T01-IM6_P-0033290-N01	0.488245359767571	1.91222184497102	40	100%	TRUE
P-0033322-T01-IM6_P-0033322-N01	0.730276806622516	2.4643587996395	80	100%	TRUE
P-0033684-T01-IM6_P-0033684-N01	0.250648585651663	2.98966094566324	30	100%	TRUE
P-0035909-T01-IM6_P-0035909-N01	0.694050503208497	1.97897958213602	38	100%	TRUE
P-0036178-T01-IM6_P-0036178-N01	0.840371878359353	3.05205624684647	38	100%	FALSE
P-0038760-T01-IM6_P-0038760-N01	0.207010847429	2.69868694214611	31	100%	TRUE
